id,nuova_tecnologia,tipo_di_miglioramento_tecnologia,incremento_tec
1,virtualizzazione del server,costi,-60%
1, cloud computing, tempo inattività,-90%
2,marketing basato su account,fatturato,+15%
3,analisi dei dati,resa,+10%
6,sistema peer to peer,entrate,+17%
7,identità unificata,costi,-30%
8,strade ottimizzate,tempo,-15%
9,ricerca funzionale,tempo,-75%
10,comunicazione ottica,tempo,-40%
12,filtro contenuti,soddisfazione,+10%
14,piattaforma di interazione,tempo,-70%
15,organizzazione intelligente,costi,-20%
16,software iperconvergente,efficenza,+30%
17,software per commissioni,tempo,-90%
18,tecnologia del commercio al dettaglio,vendite,+25%
19,nuova piattaforma per brand,sicurezza,+50%
20,pagamenti da telefono,tempo,-50%
21,Soluzioni di archiviazione ad alte prestazioni,costi,-90%
22,piattaforma per alte performance,energia,-80%
23,gestione ottimizzata delle informazioni,errori,-90%
24,distribuzione ottimizzata dell'energia,sprechi,-80%
25,video streaming ad alta qualità,guadagni pubblicitari,+80%
26,ottimizzazione e applicazione wan,tempi di risposta,-75%
27,gestione dei media sincronizzata,errori,-75%
28,uso di molteplici canali del cliente,costi,-80%
29,messaggistica multipiattaforma,tempi,-75%
30,statistiche su prestazioni,tempo,-85%
31,piattaforma per pubblicare pubblicità,monetizzazione,+90%
32,indicizzazione migliore delle pagine,precisione,+90%
33,piattaforma in tempo reale di replica e recupero dati,perdita di dati,-95%
34,innovazione nell'identificazione biometrica,tempo,-90%
35,analisi dei dati automatica,costi,-85%
36,piattaforma che fa visualizzare camera ad utenti,precisione,+80%
37,tecnologia di pagamento e ritiro,tempo,-75%
38,piattaforma immersiva e interattiva,costi,-85%
39,piattaforma per video brevi,tempo,-85%
40,rete internet aerea,costi,-90%
41,algoritmi di trading,costi,-80%
42,Piattaforma per caratteristiche basate sui dati,tempo,-90%
43,test ricerca e esecuzione di algoritmi,tempo,-95%
44,Batteria agli ioni,efficenza,+85%
45,Produzione di biocarburanti cellulosici,costi,-80%
46,camion autonomi,efficenza,+85%
47,raccolta di dati aerei,tempi,-95%
48,automatizzazione di processi di produzione,costi,-85%
49,Tecnologia dei display elettro-bagnati,costi,+75%
50,controlli multipli con unica interfaccia,tempi,-95%
51,prenotazione per controlli alle auto,tempi,-90%
52,tecnologia 3D,tempi,-90%
53,contenuti di alta qualità in poco tempo,tempi,-95%
54,creare comunità online,tempi,-80%
55,tecnologia delle costruzioni,costi,-75%
56,sviluppo applicazioni piu veloci e sicure,tempi,-90%
57,salvaguardare dati sensibili,costi,-80%
58,condividere news piu facilmente,clientela,+85%
59,permettere a robot di imparare come umani,tempi,-85%
60,macchine virtuali per cloud,tempi,-90%
61,Abilita un'elaborazione più accurata ed efficiente del linguaggio umano,tempi,-85%
62,ai sviluppata per prendere decisioni in un ambiente complicato e dinamico,velocità,+90%
63,interazioni piu realistiche,autenticità,+90%
64,contenuti di alta qualità velocemente,velocità,+90%
65,generare video da testi,tempi,-95%
66,Command R+ un modello di linguaggio avanzato,precisione,+90%
67,computazione piu veloce e efficente,velocità,+90%
68,applicazione con efficenza di costi,costi,-50%
69,personaggi piu realistici,tempi,-80%
70,piu accurate conversazioni umane,errori,-85%
71,accesso veloce e accurato alle informazioni,tempi,-90%
72,interazioni piu personalizzate,tempi,-70%
73,processi di vendite piu veloci,errori,-90%
74,interazioni piu umane,realismo,+90%
75,manutensioni piu efficenti,efficenza,+85%
76,video piu efficenti con meno costi,tempi,-90%
77,Analisi accurata ed efficiente dei dati,tempi,-95%
78,previsioni delle vendite efficenti,crescita,+75%
79,sviluppo app piu efficente,tempi,-95%
80,controllo qualità efficente e accurato,tempi,-85%
81,flussi di lavoro efficenti e snelli,tempi,-90%
82,assistenza piu efficente e personalizzata,efficenza,+80%
83,linguaggio piu umano e comprensibile,errori,-85%
84,permette piu efficente ed effettiva crescita,acquisti,+85%
85,previsione di vendite piu accurate,vendite,+92%
86,creazione di contenuti piu efficente,tempi,-90%
87,ricerca delle minacce e risposta a incidenti,efficenza,+85%
88,accessibilità video efficente e precisa,tempi,-90%
89,Abilita una gestione delle identità e degli accessi più efficiente e sicura,errori,-75%
90,tecnologia accessibile per creatori e sviluppatori,costi,-90%
91,creazione di gruppi piu efficenti,vendite,+92%
92,esperienza sicura e senza interruzioni,sicurezza,+90%
93,rende lo sviluppo piu veloce ed efficente,costi,-80%
94,rimozione sfondo automatica,tempi,-90%
95,Attribuzione automatizzata del marketing,inefficenza,-80%
96,raccolta frutta automatizzata,velocità,+90%
97,accesso alle risorse piu facilmente,sicurezza,+85%
98,decisioni aziendali piu accurate,tempi,-90%
99,aumento risoluzione e qualità dei video,tempi,-90%
100,connessione sicura al cloud,costi,-85%